Type,Runtime,Location,Date
API,  0.141484,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.240178,MA,2020-01-16
Container,  0.007493,MA,2020-01-16
API,  0.140613,MA,2020-01-16
Container,  0.007046,MA,2020-01-16
API,  0.172467,MA,2020-01-16
Container,  0.007950,MA,2020-01-16
API,  0.138223,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.145637,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.137761,MA,2020-01-16
Container,  0.006002,MA,2020-01-16
API,  0.144663,MA,2020-01-16
Container,  0.006738,MA,2020-01-16
API,  0.137164,MA,2020-01-16
Container,  0.006991,MA,2020-01-16
API,  0.137768,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.142686,MA,2020-01-16
Container,  0.006002,MA,2020-01-16
API,  0.136439,MA,2020-01-16
Container,  0.006998,MA,2020-01-16
API,  0.139308,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.136170,MA,2020-01-16
Container,  0.006003,MA,2020-01-16
API,  0.139982,MA,2020-01-16
Container,  0.006996,MA,2020-01-16
API,  0.138430,MA,2020-01-16
Container,  0.007028,MA,2020-01-16
API,  0.136714,MA,2020-01-16
Container,  0.007975,MA,2020-01-16
API,  0.161788,MA,2020-01-16
Container,  0.007026,MA,2020-01-16
API,  0.137887,MA,2020-01-16
Container,  0.007978,MA,2020-01-16
API,  0.138584,MA,2020-01-16
Container,  0.006003,MA,2020-01-16
API,  0.137905,MA,2020-01-16
Container,  0.007996,MA,2020-01-16
API,  0.136112,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.198911,MA,2020-01-16
Container,  0.007002,MA,2020-01-16
API,  0.137371,MA,2020-01-16
Container,  0.007997,MA,2020-01-16
API,  0.139529,MA,2020-01-16
Container,  0.007115,MA,2020-01-16
API,  0.137210,MA,2020-01-16
Container,  0.006884,MA,2020-01-16
API,  0.156624,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.144310,MA,2020-01-16
Container,  0.006002,MA,2020-01-16
API,  0.127062,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.135477,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.143121,MA,2020-01-16
Container,  0.007043,MA,2020-01-16
API,  0.186180,MA,2020-01-16
Container,  0.007016,MA,2020-01-16
API,  0.165815,MA,2020-01-16
Container,  0.006940,MA,2020-01-16
API,  0.192038,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.175587,MA,2020-01-16
Container,  0.006997,MA,2020-01-16
API,  0.137582,MA,2020-01-16
Container,  0.007033,MA,2020-01-16
API,  0.137410,MA,2020-01-16
Container,  0.005972,MA,2020-01-16
API,  0.142151,MA,2020-01-16
Container,  0.006997,MA,2020-01-16
API,  0.144884,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.136550,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.136963,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.141126,MA,2020-01-16
Container,  0.007996,MA,2020-01-16
API,  0.140142,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.137500,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.136730,MA,2020-01-16
Container,  0.007103,MA,2020-01-16
API,  0.161119,MA,2020-01-16
Container,  0.008002,MA,2020-01-16
API,  0.147835,MA,2020-01-16
Container,  0.006935,MA,2020-01-16
API,  0.139628,MA,2020-01-16
Container,  0.006961,MA,2020-01-16
API,  0.137333,MA,2020-01-16
Container,  0.007997,MA,2020-01-16
API,  0.145984,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.145770,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.137928,MA,2020-01-16
Container,  0.008051,MA,2020-01-16
API,  0.136628,MA,2020-01-16
Container,  0.008949,MA,2020-01-16
